id	rate
49009	3
49015	3
51001	3
51031	3
51097	3
51810	3
53035	3
53045	3
53053	3
53061	3
55021	3
55027	3
55079	3
56011	3
56015	3
56017	3
56035	3
56039	3
1003	2
1021	2
1051	2
1061	2
1079	2
1089	2
2020	2
2090	2
2130	2
2150	2
5001	2
5127	2
5143	2
5149	2
6007	2
6021	2
6035	2
6039	2
6045	2
6047	2
6059	2
6061	2
6079	2
6099	2
6103	2
8009	2
8019	2
8051	2
8059	2
8065	2
8071	2
8083	2
8085	2
8093	2
8097	2
9009	2
12029	2
12053	2
12093	2
12103	2
12121	2
12123	2
13001	2
13095	2
13163	2
13185	2
13191	2
13217	2
15007	2
16015	2
16021	2
16039	2
16041	2
16045	2
16053	2
16061	2
16063	2
16081	2
17015	2
17033	2
17043	2
17091	2
17113	2
17123	2
17161	2
17195	2
17203	2
18037	2
18073	2
18121	2
19011	2
19013	2
19021	2
19033	2
19065	2
19067	2
19077	2
19101	2
19105	2
19113	2
19153	2
19183	2
20041	2
20047	2
20087	2
20091	2
20107	2
20109	2
20115	2
20135	2
20137	2
20139	2
20155	2
20167	2
20177	2
21015	2
21147	2
21167	2
21207	2
22027	2
22073	2
22095	2
22097	2
22101	2
23011	2
23017	2
24039	2
25007	2
25009	2
25013	2
26033	2
26049	2
26065	2
26089	2
26093	2
26107	2
26121	2
26127	2
26161	2
27021	2
27093	2
27097	2
27113	2
27141	2
28013	2
28059	2
28075	2
28135	2
28137	2
29031	2
29097	2
29109	2
29215	2
30007	2
30039	2
30075	2
30083	2
30087	2
30099	2
30109	2
31001	2
31033	2
31065	2
31073	2
31165	2
32003	2
32005	2
32017	2
32019	2
33005	2
34009	2
34011	2
34015	2
34023	2
35007	2
35011	2
35025	2
35051	2
35057	2
35061	2
36023	2
36031	2
36059	2
36065	2
36083	2
37007	2
37015	2
37049	2
37109	2
37119	2
37127	2
37159	2
37185	2
38069	2
38089	2
38101	2
39171	2
40011	2
40121	2
40127	2
41015	2
41059	2
41061	2
41065	2
41067	2
42065	2
42079	2
42103	2
44009	2
45011	2
45037	2
45043	2
45051	2
45059	2
45073	2
46005	2
46013	2
46017	2
46037	2
46109	2
46117	2
47001	2
47003	2
47017	2
47053	2
47073	2
47147	2
47183	2
48001	2
48029	2
48041	2
48045	2
48059	2
48083	2
48087	2
48121	2
48139	2
48161	2
48179	2
48183	2
48193	2
48229	2
48247	2
48285	2
48287	2
48313	2
48331	2
48341	2
48363	2
48367	2
48383	2
48401	2
48435	2
48457	2
48497	2
48507	2
49007	2
49011	2
49013	2
49025	2
49041	2
49055	2
50013	2
51011	2
51089	2
51117	2
51143	2
51163	2
53019	2
53049	2
54047	2
55023	2
55089	2
55105	2
55113	2
55123	2
56005	2
1005	1
1007	1
1015	1
1027	1
1039	1
1045	1
1047	1
1063	1
1081	1
1083	1
1101	1
1119	1
1125	1
2050	1
2164	1
2180	1
2198	1
2220	1
2282	1
5025	1
5027	1
5029	1
5035	1
5039	1
5057	1
5063	1
5065	1
5067	1
5075	1
5085	1
5109	1
5121	1
5129	1
6009	1
6051	1
6063	1
6095	1
6115	1
8001	1
8005	1
8015	1
8023	1
8049	1
8055	1
8057	1
8073	1
8075	1
8079	1
8087	1
8089	1
8091	1
8107	1
8113	1
8115	1
9001	1
9015	1
12015	1
12019	1
12021	1
12043	1
12051	1
12073	1
12075	1
12085	1
12086	1
12099	1
12107	1
12117	1
13005	1
13015	1
13021	1
13043	1
13049	1
13051	1
13059	1
13087	1
13127	1
13131	1
13201	1
13205	1
13229	1
13233	1
13255	1
13259	1
