id	rate
47109	5
47113	5
47151	5
47157	5
47177	5
47183	5
48007	5
48073	5
48109	5
48117	5
48143	5
48195	5
48237	5
48241	5
48269	5
48273	5
48283	5
48287	5
48307	5
48327	5
48333	5
48345	5
48375	5
48377	5
48423	5
48443	5
48445	5
48475	5
48479	5
48501	5
49007	5
51049	5
51810	5
53033	5
54017	5
54067	5
54079	5
55043	5
55045	5
55081	5
55083	5
55095	5
55097	5
55105	5
55117	5
55129	5
55131	5
55135	5
56009	5
56045	5
1007	4
1043	4
1071	4
1091	4
1127	4
2068	4
2150	4
5009	4
5083	4
5095	4
5109	4
5129	4
5135	4
6015	4
6021	4
6051	4
6063	4
6069	4
6077	4
6087	4
6099	4
6109	4
8013	4
9005	4
12017	4
12051	4
12081	4
12091	4
12105	4
12113	4
12133	4
13069	4
13115	4
13127	4
13245	4
13311	4
16015	4
16063	4
16069	4
17027	4
17047	4
17053	4
17115	4
17143	4
17167	4
17185	4
18039	4
18095	4
18141	4
18183	4
19013	4
19015	4
19017	4
19055	4
19089	4
19109	4
19111	4
19153	4
19197	4
20043	4
20047	4
20051	4
20061	4
20089	4
20099	4
20123	4
20125	4
20127	4
20135	4
20155	4
20169	4
21009	4
21025	4
21067	4
21095	4
21199	4
21207	4
21231	4
22013	4
23031	4
24021	4
24025	4
24039	4
26019	4
26027	4
26031	4
26061	4
26099	4
26121	4
26129	4
26131	4
26147	4
27001	4
27127	4
27145	4
27151	4
28043	4
28057	4
28079	4
28081	4
28093	4
28109	4
28137	4
29009	4
29021	4
29033	4
29039	4
29069	4
29077	4
29079	4
29117	4
29189	4
30051	4
30073	4
30089	4
30091	4
30099	4
30103	4
31009	4
31049	4
31073	4
31145	4
34021	4
34023	4
34027	4
36003	4
36023	4
36027	4
36051	4
36067	4
36077	4
36107	4
37127	4
37169	4
37175	4
38031	4
38087	4
38089	4
39035	4
39055	4
39107	4
40031	4
40065	4
40121	4
40129	4
41007	4
42001	4
42041	4
42049	4
42053	4
42081	4
42125	4
42129	4
45025	4
45027	4
45043	4
45083	4
46013	4
47037	4
47111	4
47115	4
47117	4
47119	4
47145	4
48019	4
48089	4
48103	4
48107	4
48123	4
48125	4
48139	4
48163	4
48169	4
48189	4
48213	4
48233	4
48263	4
48303	4
48305	4
48309	4
48329	4
48335	4
48381	4
48385	4
48395	4
48433	4
48485	4
48507	4
49009	4
49019	4
51005	4
51101	4
51141	4
51143	4
51155	4
51197	4
53009	4
53017	4
53021	4
53047	4
53065	4
54081	4
55003	4
55025	4
55065	4
55087	4
55107	4
1021	3
1029	3
1057	3
1081	3
1123	3
1131	3
2220	3
4023	3
5051	3
5067	3
5101	3
5105	3
5125	3
5131	3
6011	3
6013	3
6031	3
6033	3
6035	3
6045	3
6061	3
